Label,ROI_number,x,y,z,VOL,Frontal_L,Frontal_R,Parietal_L,Parietal_R,Occipital_L,Occipital_R,Temporal_L,Temporal_R,Insula_L,Insula_R,Subcortical_L,Subcortical_R
7Networks_LH_SomMot_1,15,-50.4890387858347,-5.07588532883643,-2.14839797639123,593,0.0252951096121417,0,0,0,0,0,0.824620573355818,0,0.00505902192242833,0,0,0
7Networks_LH_SomMot_2,16,-52.577553593947,-24.8726355611602,9.25346784363178,793,0,0,0.108448928121059,0,0,0,0.790668348045397,0,0,0,0,0
7Networks_LH_SomMot_3,17,-36.9212121212121,-20.9616161616162,15.2808080808081,495,0.00202020202020202,0,0.422222222222222,0,0,0,0.0707070707070707,0,0.262626262626263,0,0,0
7Networks_LH_SomMot_4,18,-54.929012345679,-4.4783950617284,10.2283950617284,648,0.552469135802469,0,0.194444444444444,0,0,0,0.0354938271604938,0,0.0154320987654321,0,0,0
7Networks_LH_SomMot_5,19,-52.9481865284974,-22.440414507772,18.3782383419689,386,0,0,0.966321243523316,0,0,0,0.00259067357512953,0,0,0,0,0
7Networks_LH_SomMot_6,20,-56.1536643026005,-8.22458628841608,30.4042553191489,846,0.718676122931442,0,0.049645390070922,0,0,0,0,0,0,0,0,0
7Networks_LH_SomMot_7,21,-47.2537878787879,-8.9280303030303,46.3143939393939,528,0.863636363636364,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_SomMot_8,22,-6.92647058823529,-12.3897058823529,46.3970588235294,544,0.716911764705882,0,0.154411764705882,0,0,0,0,0,0,0,0,0
7Networks_LH_SomMot_9,23,-48.1759259259259,-28.375,56.9861111111111,432,0.0416666666666667,0,0.861111111111111,0,0,0,0,0,0,0,0,0
7Networks_LH_SomMot_10,24,-39.4452554744526,-23.9525547445255,57.485401459854,548,0.262773722627737,0,0.246350364963504,0,0,0,0,0,0,0,0,0
7Networks_LH_SomMot_11,25,-30.6666666666667,-46.2710027100271,62.5474254742547,369,0,0,0.929539295392954,0,0,0,0,0,0,0,0,0
7Networks_LH_SomMot_12,26,-31.2988691437803,-19.7609046849758,63.8416801292407,619,0.752827140549273,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_SomMot_13,27,-26.0921409214092,-38.059620596206,67.4308943089431,369,0.0460704607046071,0,0.848238482384824,0,0,0,0,0,0,0,0,0
7Networks_LH_SomMot_14,28,-20.268876611418,-10.6003683241252,68.0699815837937,543,0.974217311233886,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_SomMot_15,29,-6.61284403669725,-30.5376146788991,66.3192660550459,1090,0.612844036697248,0,0.273394495412844,0,0,0,0,0,0,0,0,0
7Networks_LH_SomMot_16,30,-19.0896551724138,-30.8137931034483,67.6896551724138,290,0.517241379310345,0,0.0896551724137931,0,0,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_Post_1,31,-43.3585209003215,-48.2363344051447,-19.3649517684887,1244,0,0,0,0,0.00160771704180064,0,0.95096463022508,0,0,0,0,0
7Networks_LH_DorsAttn_Post_2,32,-57.0079239302694,-60.1965134706815,-1.37242472266244,631,0,0,0.00475435816164818,0,0.291600633914422,0,0.583201267828843,0,0,0,0,0
7Networks_LH_DorsAttn_Post_3,33,-25.7750439367311,-69.9121265377856,38.2038664323374,569,0,0,0.713532513181019,0,0.268892794376098,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_Post_4,34,-54.0190114068441,-26.4068441064639,41.9809885931559,526,0.136882129277567,0,0.652091254752852,0,0,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_Post_5,35,-40.7254901960784,-35.1372549019608,47.7892156862745,408,0,0,0.919117647058824,0,0,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_Post_6,36,-33.2598039215686,-48.8676470588235,47.1617647058824,408,0,0,0.933823529411765,0,0,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_Post_7,37,-16.7394136807818,-73.042345276873,54.1009771986971,614,0,0,0.837133550488599,0,0.0504885993485342,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_Post_8,38,-29.0853658536585,-59.8414634146342,59.3841463414634,328,0,0,0.954268292682927,0,0,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_Post_9,39,-5.56797583081571,-59.3383685800604,57.1178247734139,662,0,0,0.942598187311178,0,0,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_Post_10,40,-17.1764705882353,-52.7344992050874,68.4356120826709,629,0.0127186009538951,0,0.955484896661367,0,0,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_FEF_1,41,-31.5866666666667,-4.29066666666667,53.2426666666667,750,0.9,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_FEF_2,42,-22.4982935153584,5.55972696245734,61.4232081911263,586,0.919795221843003,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_DorsAttn_PrCv_1,43,-47.6956521739131,5.60869565217391,28.8599033816425,414,0.891304347826087,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_SalVentAttn_ParOper_1,44,-55.7256944444444,-39.9791666666667,20.5034722222222,576,0,0,0.519097222222222,0,0,0,0.319444444444444,0,0,0,0,0
7Networks_LH_SalVentAttn_ParOper_2,45,-61.0071942446043,-25.441726618705,28.6302158273381,695,0.0316546762589928,0,0.83453237410072,0,0,0,0.0258992805755396,0,0,0,0,0
7Networks_LH_SalVentAttn_ParOper_3,46,-59.7265917602996,-39.374531835206,36.3445692883895,534,0,0,0.926966292134832,0,0,0,0.0243445692883895,0,0,0,0,0
7Networks_LH_SalVentAttn_FrOperIns_1,47,-39.2464589235128,-3.86118980169972,-3.63172804532578,706,0.0028328611898017,0,0,0,0,0,0.157223796033994,0,0.582152974504249,0,0.00141643059490085,0
7Networks_LH_SalVentAttn_FrOperIns_2,48,-33.501066098081,20.3880597014925,4.81023454157783,469,0.272921108742004,0,0,0,0,0,0,0,0.528784648187633,0,0.00213219616204691,0
7Networks_LH_SalVentAttn_FrOperIns_3,49,-38.9041095890411,0.856164383561644,10.9931506849315,292,0.376712328767123,0,0,0,0,0,0,0,0.537671232876712,0,0,0
7Networks_LH_SalVentAttn_FrOperIns_4,50,-51.0424242424242,8.68686868686869,10.4565656565657,495,0.911111111111111,0,0,0,0,0,0,0,0.0343434343434343,0,0,0
7Networks_LH_SalVentAttn_PFCl_1,51,-28.606106870229,42.8152671755725,31.3572519083969,1310,0.83206106870229,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_SalVentAttn_Med_1,52,-5.69820971867008,9.60102301790281,41.386189258312,782,0.90920716112532,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_SalVentAttn_Med_2,53,-10.7448494453249,-35.2805071315372,46.3454833597464,631,0.00158478605388273,0,0.961965134706815,0,0,0,0,0,0,0,0,0
7Networks_LH_SalVentAttn_Med_3,54,-6.25190839694657,-3.09160305343511,65.118320610687,524,0.900763358778626,0,0,0,0,0,0,0,0,0,0,0
7Networks_LH_Limbic_OFC_1,55,-23.6622390891841,21.7153700189753,-19.9240986717268,527,0.825426944971537,0,0,0,0,0,0.00189753320683112,0,0,0,0,0
7Networks_LH_Limbic_OFC_2,56,-9.3977358490566,35.5652830188679,-20.4603773584906,1325,0.903396226415094,0,0,0,0,0,0,0,0,0,0.00452830188679245,0
7Networks_LH_Limbic_TempPole_1,57,-29.3167981961669,-5.82863585118377,-38.6020293122886,887,0,0,0,0,0,0,0.834272829763247,0,0,0,0.00789177001127396,0
7Networks_LH_Limbic_TempPole_2,58,-45.4310850439883,-20.7292277614858,-30.3108504398827,1023,0,0,0,0,0,0,0.957966764418377,0,0,0,0,0
